iter	Logloss
0	0.6748677497
1	0.6568010855
2	0.641634789
3	0.6280011924
4	0.614582402
5	0.602912913
6	0.591580527
7	0.5836193179
8	0.5738435442
9	0.5676208742
10	0.5610731724
11	0.5544119092
12	0.5486580059
13	0.5431705245
14	0.538288974
15	0.5339592895
16	0.5293850036
17	0.5255016772
18	0.5226646777
19	0.5197911636
20	0.5172941822
21	0.5140482795
22	0.5106548722
23	0.5077259545
24	0.5047273399
25	0.5028904916
26	0.5010152936
27	0.4986117089
28	0.4969495081
29	0.4959130382
30	0.4950865576
31	0.4940662099
32	0.4919547158
33	0.4909167224
34	0.4893990354
35	0.488159817
36	0.4871070007
37	0.4861127739
38	0.4852266933
39	0.4848221629
40	0.4841253652
41	0.4829602272
42	0.4828386045
43	0.482163812
44	0.4812132327
45	0.4805197742
46	0.4801381095
47	0.4797065492
48	0.4792127171
49	0.4791258096
50	0.4782832074
51	0.4781590029
52	0.4778598599
53	0.4774166694
54	0.4771939983
55	0.4765320867
56	0.4759472654
57	0.4752217964
58	0.474591058
59	0.4739930678
60	0.4736090795
61	0.4734912862
62	0.4734242762
63	0.4728686711
64	0.4723431943
65	0.4722383447
66	0.4720079703
67	0.471495034
68	0.4711363665
69	0.4707177547
70	0.4703421968
71	0.4696569691
72	0.4695710456
73	0.4692788506
74	0.469149363
75	0.4687274832
76	0.4683177513
77	0.467980747
78	0.4676002162
79	0.4672150774
80	0.4667618081
81	0.4665324031
82	0.4662154435
83	0.4661976319
84	0.4661808572
85	0.4658424411
86	0.4654842231
87	0.4652516187
88	0.4650687888
89	0.4647440706
90	0.4645388791
91	0.4645383858
92	0.4643454464
93	0.4642229972
94	0.4639265732
95	0.463592689
96	0.4634340268
97	0.4632128889
98	0.4629562801
99	0.46250362
100	0.462430268
101	0.4622018743
102	0.4617944868
103	0.4615493733
104	0.4608475442
105	0.460352251
106	0.46026012
107	0.4598919243
108	0.4595364653
109	0.4592820218
110	0.4590559878
111	0.458737039
112	0.4587370368
113	0.4586752372
114	0.4585303625
115	0.4584745235
116	0.4584087048
117	0.4582363932
118	0.4582045437
119	0.4580621616
120	0.4580621615
121	0.4575634681
122	0.4571879634
123	0.4569849744
124	0.4569195757
125	0.456693244
126	0.4561942078
127	0.4558748672
128	0.4556748059
129	0.4554689891
130	0.4554272119
131	0.4552921451
132	0.4550244095
133	0.4547099169
134	0.454669786
135	0.4546642311
136	0.4546626039
137	0.4543631784
138	0.4541031101
139	0.4541031078
140	0.4538461193
141	0.4536276195
142	0.4534398106
143	0.4534200302
144	0.4532946365
145	0.4532750944
146	0.4531230591
147	0.4529945088
148	0.4527736932
149	0.4527690956
150	0.4527170533
151	0.4521508541
152	0.4519313371
153	0.4518941572
154	0.4516840071
155	0.4516830645
156	0.4516799778
157	0.4515111176
158	0.4512316185
159	0.4511726909
160	0.4511720164
161	0.4510495899
162	0.4506679686
163	0.4506245542
164	0.4503655682
165	0.4499884274
166	0.4498513983
167	0.4498254009
168	0.4494683871
169	0.4494288653
170	0.449214866
171	0.4488474124
172	0.4487067433
173	0.4486820632
174	0.448606417
175	0.4486063061
176	0.4484207899
177	0.4476140029
178	0.4473988399
179	0.4472919443
180	0.4471197358
181	0.4470962931
182	0.4467698491
183	0.4466617119
184	0.4464019193
185	0.4459190022
186	0.445551176
187	0.4452233228
188	0.4449783095
189	0.4446788567
190	0.4444482269
191	0.4443778769
192	0.4442543496
193	0.4441068383
194	0.4438401832
195	0.4437180272
196	0.4433039635
197	0.4431724216
198	0.4429323071
199	0.4426631557
200	0.4424611347
201	0.4421128186
202	0.4420464184
203	0.4415893334
204	0.4412980293
205	0.4406394872
206	0.4404347903
207	0.43988248
208	0.4395062422
209	0.4391137511
210	0.4385997762
211	0.438361287
212	0.43806065
213	0.437550503
214	0.4373047946
215	0.4368780172
216	0.4368529374
217	0.4365593512
218	0.4363740533
219	0.4360817329
220	0.4358581449
221	0.4357691455
222	0.4353990938
223	0.4352071452
224	0.4348089552
225	0.4345071068
226	0.434098576
227	0.4338587779
228	0.4336457317
229	0.4333436789
230	0.4332072629
231	0.4330423448
232	0.4328509728
233	0.4324652804
234	0.4319476055
235	0.4318894597
236	0.4318817543
237	0.4316177568
238	0.4315282244
239	0.4311517787
240	0.4307577262
241	0.4304106811
242	0.4301088986
243	0.4298048505
244	0.4295014467
245	0.4291357753
246	0.4289571267
247	0.4286985333
248	0.4281823175
249	0.4280309715
250	0.4279341793
251	0.4277896473
252	0.4277136953
253	0.4274531214
254	0.4271699248
255	0.4270096987
256	0.4266495297
257	0.4260273183
258	0.4256115483
259	0.4252665357
260	0.4250977519
261	0.4248893249
262	0.4247272407
263	0.4244460197
264	0.4240214639
265	0.4238335142
266	0.4236339328
267	0.4236058025
268	0.4231970958
269	0.4231160657
270	0.4225614068
271	0.4225021047
272	0.4221165361
273	0.4219943475
274	0.4219698373
275	0.4213447406
276	0.421195283
277	0.4211014299
278	0.4207043651
279	0.4205567559
280	0.4205144266
281	0.4203801966
282	0.4199668863
283	0.4194963032
284	0.419448918
285	0.4189876633
286	0.418831784
287	0.4181485447
288	0.417749836
289	0.4175957958
290	0.4174620174
291	0.417150329
292	0.4169979485
293	0.4166631581
294	0.416526788
295	0.4163044144
296	0.416228259
297	0.4160125185
298	0.4157572646
299	0.4154896647
